"","�..OID_","sit_d","trns_","date","crw_n","year","pnt_n","crd_q","wtr__","bttm_","sbst_","org__","unvg_","ttl__","stn__","dtrt_","varbl","Hyd__","Phrgmts_st","Phrgmts__1","Typh_n","Typh_g","Typh_l","Typ__","typh_","st_nm","conty","crw_c","obsrv","qa_dn","qr_fl","berng","wdth_md","wdth_mr","wdth_s","cmmnt","NEAR_FID","NEAR_DIST","MeanFetch","SD_Fetch","MeanREI","SD_REI","UTM_X","UTM_Y","EFB_cover","typ_cover","hyd_bin","folds"
"595",594,1585,1,"6/24/2013","CMU",2013,10,"Excellent",3,"V","Pb/Cb/Bld",0.5,80,20,1,20,"percent_cover",0,0,0,1,0,0,0,1,"Point Epoufette Wetland","Mackinac","E. Tuttle","C. Erickson",1,0,211,100,25,221,"T1: emergent zone < 11 meters, transect ran perpendicular for 25 meters; meadow interrupted by 15 meter inland pond with little to no veg; rocks continue past submergent with only algae cover; meadow plots adjusted slightly around pond. T2: submergent ma",151,14460.33345,14746.00293,1504.550049,79511.39844,7272.709961,639487.4512,5101215.249,0,0.01,0,2
"596",595,1585,2,"6/24/2013","CMU",2013,1,"Excellent",0,"Dry","Sand",12,0,100,3,95,"percent_cover",0,0,2,0,0,0,0,0,"Point Epoufette Wetland","Mackinac","E. Tuttle","C. Erickson",1,0,218,270,50,140,"T1: emergent zone < 11 meters, transect ran perpendicular for 25 meters; meadow interrupted by 15 meter inland pond with little to no veg; rocks continue past submergent with only algae cover; meadow plots adjusted slightly around pond. T2: submergent ma",151,14139.55679,0,0,0,0,639848.8338,5101354.956,0,0,0,1
"597",596,1585,2,"6/24/2013","CMU",2013,5,"Excellent",0,"Dry","Sand",2,15,30,10,90,"percent_cover",0,0,1,0,0,0,0,0,"Point Epoufette Wetland","Mackinac","E. Tuttle","C. Erickson",1,0,218,270,50,140,"T1: emergent zone < 11 meters, transect ran perpendicular for 25 meters; meadow interrupted by 15 meter inland pond with little to no veg; rocks continue past submergent with only algae cover; meadow plots adjusted slightly around pond. T2: submergent ma",151,14224.58315,8298.008789,1997.589966,41422.39844,10600.7998,639723.6756,5101191.482,0,0,0,1
"598",597,1585,2,"7/17/2018","CMU",2018,5,"Excellent",50,"V","Sand",7,83.5,16.5,0,22,"percent_cover",0,0,2,0,0,0,0,0,"Point Epoufette Wetland","Mackinac","J. Micheaux","M. Kendziorski",1,0,220,242,55,40,"Transect 1: Clinapodium, cirsium, bidens, and phalaris present in upper meadow, not in any sampled quadrats. No submergent zone to be sampled. Narrow sampling technique used for emergent zone. Transect 2: Unknown SAV is also a Potamogeton sp., Transect 3",151,14201.86445,9385.000977,2315.689941,48025.10156,12988.5,639753.6547,5101221.065,0,0,0,1
"599",598,1585,2,"7/17/2018","CMU",2018,12,"Excellent",95,"V","Sand",60,91.5,8.5,0,2.5,"percent_cover",0,0,1.5,0,0,0,0,0,"Point Epoufette Wetland","Mackinac","J. Micheaux","M. Kendziorski",1,0,220,242,55,40,"Transect 1: Clinapodium, cirsium, bidens, and phalaris present in upper meadow, not in any sampled quadrats. No submergent zone to be sampled. Narrow sampling technique used for emergent zone. Transect 2: Unknown SAV is also a Potamogeton sp., Transect 3",151,14247.45377,7912.085938,1886.810059,39535.30078,10062.2998,639687.2321,5101132.961,0,0,0,2
"600",599,1586,1,"7/16/2018","CMU",2018,7,"Very Good",52,"V","Sand",18,65,35,2,45,"percent_cover",0,30,0,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","A. Kneisel","T. Bourassa",1,0,86,154,121,45,"Transect 3: Pt 1 standing dead is dead ceder,",151,14174.32222,289.1395569,23.4547005,1455.400024,153.6150055,639932.5065,5101821.076,0,0,0,1
"601",600,1586,1,"7/16/2018","CMU",2018,10,"Very Good",65,"V","Sand",42,96,4,0,15,"percent_cover",0,2,0,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","A. Kneisel","T. Bourassa",1,0,86,154,121,45,"Transect 3: Pt 1 standing dead is dead ceder,",151,14114.80099,338.6763611,23.4162006,1706.209961,153.7610016,639995.2643,5101824.838,0,0,0,1
"602",601,1586,1,"7/18/2012","CMU",2012,5,"Excellent",0,"Dry","Sand",0,2,93,1,5,"percent_cover",0,0.5,0,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","T. Lemein, C. Webster (T2-T3), S. Fraser, C. Gurholt (T1)","T. Lemein, C. Webster, S. Fraser, C. Gurholt",1,0,84,124,197,35,"T1: submerged organic rich sand; near shore line with vegetation is a fine layer of silt. T3: perpendicular to transect meadow zone. T1 and T2: Phragmites australis is native.",151,14252.8523,221.7982788,24.6707993,1073.910034,157.2899933,639845.519,5101800.534,0,0,0,1
"603",602,1586,1,"7/21/2016","CMU",2016,1,"Excellent",0,"Dry","Sand",40,55,45,2,60,"percent_cover",0,0,1,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","E. Fraley","O. Soumis",1,0,46,94,181,25,"Transect 1: plant check - Carex buxbaumii corrected to Carex stricta DAA, Transect 2:  plant check - Muhlenbergia glomerata corrected to Phalaris arundinacea DAA",151,14268.11352,0,0,0,0,639813.8169,5101741.342,0,0,0,1
"604",603,1586,1,"7/21/2016","CMU",2016,5,"Excellent",25,"V","Sand",20,54,46,1,20,"percent_cover",0,0,5,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","E. Fraley","O. Soumis",1,0,46,94,181,25,"Transect 1: plant check - Carex buxbaumii corrected to Carex stricta DAA, Transect 2:  plant check - Muhlenbergia glomerata corrected to Phalaris arundinacea DAA",151,14214.53838,213.9242706,21.2243996,1057.390015,136.121994,639874.5125,5101760.952,0,0,0,1
"605",604,1586,1,"7/29/2011","OSU",2011,4,"Good",0,"Dry","Sand",15,0,100,12,75,"percent_cover",0,2,0,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","A. Ferguson","S. Fraser",1,0,86,87,168,75,"T1: plots in submergent have black sand to ca. 20 cm, almost organic matter, white sand on top. T3:meadow perpendicular at 165 degrees; moved meadow plots out of upland species.",151,14271.06031,221.7982788,24.6707993,1073.910034,157.2899933,639828.2076,5101806.255,0,0,0,1
"606",605,1586,1,"7/29/2011","OSU",2011,8,"Good",0,"Dry","Sand",1,0,40,6,75,"percent_cover",0,1,0,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","A. Ferguson","S. Fraser",1,0,86,87,168,75,"T1: plots in submergent have black sand to ca. 20 cm, almost organic matter, white sand on top. T3:meadow perpendicular at 165 degrees; moved meadow plots out of upland species.",151,14171.87467,289.1395569,23.4547005,1455.400024,153.6150055,639934.6304,5101819.568,0,0,0,1
"607",606,1586,1,"8/14/2019","CMU",2019,5,"Confirmed",47,"V","Sand",9,0,100,60,100,"percent_cover",0,0,0,0,5,0,0,5,"Epoufette Bay Wetland #1","Mackinac","J. Dybiec","D. Mokris",1,0,84,112,210,48,"Transect 1: moss in point 2 & 3 was brown but not decaying; camera died after point 15 (no pics pt. 6-14); , Transect 3: no picture for 1134 (emergent pt. 9);",151,14269.13487,221.7982788,24.6707993,1073.910034,157.2899933,639829.79,5101804.734,0,0.05,0,1
"608",607,1586,1,"8/14/2019","CMU",2019,6,"Confirmed",81,"V","Sand",4,92,8,10,30,"percent_cover",0,0,5,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","J. Dybiec","D. Mokris",1,0,84,112,210,48,"Transect 1: moss in point 2 & 3 was brown but not decaying; camera died after point 15 (no pics pt. 6-14); , Transect 3: no picture for 1134 (emergent pt. 9);",151,14204.77482,247.6751862,23.3236008,1218.880005,151.5469971,639897.0724,5101806.931,0,0,0,1
"609",608,1586,1,"8/14/2019","CMU",2019,7,"Confirmed",86,"V","Sand",6,40,60,12,100,"percent_cover",0,60,0,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","J. Dybiec","D. Mokris",1,0,84,112,210,48,"Transect 1: moss in point 2 & 3 was brown but not decaying; camera died after point 15 (no pics pt. 6-14); , Transect 3: no picture for 1134 (emergent pt. 9);",151,14177.33974,265.3858337,22.7653008,1324.380005,149.6759949,639928.4078,5101817.537,0,0,0,1
"610",609,1586,1,"8/14/2019","CMU",2019,10,"Excellent",115,"V","Sand",5,75,25,0,5,"percent_cover",0,0,0.5,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","J. Dybiec","D. Mokris",1,0,84,112,210,48,"Transect 1: moss in point 2 & 3 was brown but not decaying; camera died after point 15 (no pics pt. 6-14); , Transect 3: no picture for 1134 (emergent pt. 9);",151,14106.5859,416.0079956,27.8066006,2025.229981,181.5529938,640014.8654,5101864.747,0,0,0,1
"611",610,1586,1,"8/2/2021","CMU",2021,5,"Confirmed",17,"V","Cly/Slt",13,25,75,2,100,"percent_cover",0,0,0,0,3,0,0,3,"Epoufette Bay Wetland #1","Mackinac","M. Sand","K. Town",1,0,86,115,198,130,"Transect 1: Emergent zone separated by 100 m pool of water., Transect 2: Meadow zone is filled with 50 cm deep organic, making ground mucky. Sampling point 10- zebra mussels present. Sampling point 11- detritus and algae are from submerged tree roots. Mo",151,14268.2955,221.7982788,24.6707993,1073.910034,157.2899933,639829.7859,5101801.511,0,0.03,0,1
"612",611,1586,1,"9/8/2017","CMU",2017,8,"Excellent",49,"V","Sand",26,87,13,1,100,"percent_cover",0,10,0,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","A. Kneisel","S. Bozimowski",1,0,90,121,165,25,"T.2. Moss made up most detritus",151,14171.67454,297.2345581,22.4169006,1493.339966,151.9129944,639938.2201,5101831.878,0,0,0,1
"613",612,1586,1,"9/8/2017","CMU",2017,9,"Excellent",55,"V","Sand",27,85,15,1,75,"percent_cover",0,2,0,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","A. Kneisel","S. Bozimowski",1,0,90,121,165,25,"T.2. Moss made up most detritus",151,14141.37575,314.7102661,22.4176006,1590.150024,149.904007,639970.4284,5101834.722,0,0,0,1
"614",613,1586,2,"7/17/2018","CMU",2018,1,"Very Good",0,"Dry","Cly/Snd",47,2,98,3,100,"percent_cover",0,0,3,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","A. Kneisel","T. Bourassa",1,0,132,72,93,65,"Transect 3: Pt 1 standing dead is dead ceder,",151,14215.51999,1443.491577,141.7929993,5823,702.8099976,640034.4948,5102314.85,0,0,0,1
"615",614,1586,2,"7/21/2016","CMU",2016,7,"Excellent",80,"V","Sand",13,86,14,1,40,"percent_cover",0,0.5,0,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","E. Fraley","O. Soumis",1,0,108,88,46,25,"Transect 1: plant check - Carex buxbaumii corrected to Carex stricta DAA, Transect 2:  plant check - Muhlenbergia glomerata corrected to Phalaris arundinacea DAA",151,14093.43344,2444.704102,222.4779968,10041,1120.979981,640129.6062,5102209.409,0,0,0,1
"616",615,1586,2,"8/14/2019","CMU",2019,6,"Confirmed",67,"V","Sand",2,50,50,5,15,"percent_cover",0,0,0,0,35,0,0,35,"Epoufette Bay Wetland #1","Mackinac","J. Dybiec","D. Mokris",1,0,110,27,113,104,"Transect 1: moss in point 2 & 3 was brown but not decaying; camera died after point 15 (no pics pt. 6-14); , Transect 3: no picture for 1134 (emergent pt. 9);",151,14155.92447,2335.473389,218.9259949,9537.709961,1115.810059,640074.5906,5102243.062,0,0.35,0,1
"617",616,1586,2,"8/14/2019","CMU",2019,10,"Confirmed",104,"V","Sand",14,70,30,1,10,"percent_cover",0,0,5,0,10,0,0,10,"Epoufette Bay Wetland #1","Mackinac","J. Dybiec","D. Mokris",1,0,110,27,113,104,"Transect 1: moss in point 2 & 3 was brown but not decaying; camera died after point 15 (no pics pt. 6-14); , Transect 3: no picture for 1134 (emergent pt. 9);",151,14078.3138,2532.266113,224.9440002,10411.5,1145.02002,640147.7732,5102217.049,0,0.1,0,1
"618",617,1586,2,"8/2/2021","CMU",2021,2,"Confirmed",0,"Dry","Org.",55,87,13,0,10,"percent_cover",0,0,0.5,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","M. Sand","K. Town",1,0,125,12,158,92,"Transect 1: Emergent zone separated by 100 m pool of water., Transect 2: Meadow zone is filled with 50 cm deep organic, making ground mucky. Sampling point 10- zebra mussels present. Sampling point 11- detritus and algae are from submerged tree roots. Mo",151,14219.74869,1443.491577,141.7929993,5823,702.8099976,640032.0303,5102321.13,0,0,0,1
"619",618,1586,2,"8/4/2012","CMU",2012,8,"Excellent",0,"Dry","Sand",0,0,45,3,100,"percent_cover",0,1,0,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","T. Lemein, C. Webster (T2-T3), S. Fraser, C. Gurholt (T1)","T. Lemein, C. Webster, S. Fraser, C. Gurholt",1,0,110,67,65,40,"T1: submerged organic rich sand; near shore line with vegetation is a fine layer of silt. T3: perpendicular to transect meadow zone. T1 and T2: Phragmites australis is native.",151,14086.38244,2444.704102,222.4779968,10041,1120.979981,640134.078,5102199.951,0,0,0,1
"620",619,1586,2,"9/8/2017","CMU",2017,1,"Excellent",1,"V","Cly/Slt",32,18,82,7,100,"percent_cover",0,0,0,0,0,1,0,1,"Epoufette Bay Wetland #1","Mackinac","A. Kneisel","S. Bozimowski",1,0,120,125,16,25,"T.2. Moss made up most detritus",151,14186.3537,1687.641968,145.5980072,6843.709961,771.1589966,640044.944,5102250.169,0,0.01,0,1
"621",620,1586,2,"9/8/2017","CMU",2017,5,"Excellent",70,"V","Sand",22,86,14,1,25,"percent_cover",0,10,0,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","A. Kneisel","S. Bozimowski",1,0,120,125,16,25,"T.2. Moss made up most detritus",151,14088.3559,2378.291992,215.6119995,9763.94043,1076.609985,640130.0454,5102193.523,0,0,0,1
"622",621,1586,2,"9/8/2017","CMU",2017,6,"Excellent",69,"V","Sand",40,29,71,0,10,"percent_cover",0,1,0,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","A. Kneisel","S. Bozimowski",1,0,120,125,16,25,"T.2. Moss made up most detritus",151,14071.48282,2528.005371,223.7339935,10375,1137.930054,640146.6815,5102190.233,0,0,0,1
"623",622,1592,1,"7/7/2016","CMU",2016,6,"Excellent",90,"V","Sand",10,87.5,12.5,0,5,"percent_cover",0,0,2,0,0,0,0,0,"Pointe Aux Chenes Marshes","Mackinac","E. Fraley","O. Soumis",1,0,209,164,25,25,"T1: Parallel for both emergent and submergent, T2: Parallel for submergent, T2: Unk wet meadow #1 in some kind of fern T3 Carex spp. #2 in WM and emergent zones may be two different species",233,8383.582777,0,0,0,0,665097.636,5086904.036,0,0,0,2
"624",623,1592,3,"8/3/2021","CMU",2021,3,"Confirmed",10,"V","Sand",3,66,34,1,40,"percent_cover",0,0,6,0,0,0,0,0,"Pointe Aux Chenes Marshes","Mackinac","M. Sand","K. Town",1,0,7,401,0,6,"Transect 1: Submergent zone- narrow sampling, length = 3 m. No emergent zone. Nitella sp. = Nitella flexilis, Transect 2: No submergent zone. Submergent plants and Schoenoplectus continue all the way through channel., Transect 3: Submergent zone- narrow",233,8887.429052,0,0,0,0,665842.5628,5086495.697,0,0,0,2
"625",624,1592,3,"8/3/2021","CMU",2021,4,"Confirmed",14,"V","Cly/Snd",3,43,57,15,100,"percent_cover",0,0,9,0,0,0,0,0,"Pointe Aux Chenes Marshes","Mackinac","M. Sand","K. Town",1,0,7,401,0,6,"Transect 1: Submergent zone- narrow sampling, length = 3 m. No emergent zone. Nitella sp. = Nitella flexilis, Transect 2: No submergent zone. Submergent plants and Schoenoplectus continue all the way through channel., Transect 3: Submergent zone- narrow",233,8825.020448,0,0,0,0,665850.9134,5086560.518,0,0,0,2
"626",625,1598,1,"7/13/2020","CMU",2020,1,"Confirmed",14,"V","Sand",7,0,100,0,1,"percent_cover",0,0,0,12,0,0,0,12,"Point St. Ignace Wetland","Mackinac","A. Kneisel","O. Anderson",1,0,170,15,286,30,"T.1: Meadow - swales of silt/clay overlaying sandy sediment, Emergent - More Schoenoplectus acutus on edge of submergent, Trouble reaching bottom with rake in submergent pt 11, T.2: pt.2 - had some overhang from tamarack, pt.4 - woody veg is dying, pt.9",139,2630.11849,2331.139404,536.4089966,11989.40039,2873.899902,675381.1688,5079642.208,0,0.12,0,3
"627",626,1598,1,"7/13/2020","CMU",2020,6,"Confirmed",98,"V","Cly/Slt",18,61,39,7,95,"percent_cover",0,0,0,38,0,0,0,38,"Point St. Ignace Wetland","Mackinac","A. Kneisel","O. Anderson",1,0,170,15,286,30,"T.1: Meadow - swales of silt/clay overlaying sandy sediment, Emergent - More Schoenoplectus acutus on edge of submergent, Trouble reaching bottom with rake in submergent pt 11, T.2: pt.2 - had some overhang from tamarack, pt.4 - woody veg is dying, pt.9",139,2666.545784,2383.89624,546.9879761,12220.7998,2935.100098,675398.5223,5079583.657,0,0.38,0,3
"628",627,1598,1,"7/13/2020","CMU",2020,7,"Confirmed",117,"V","Sand",19,35,65,0.5,100,"percent_cover",0,0,0,22,0,0,0,22,"Point St. Ignace Wetland","Mackinac","A. Kneisel","O. Anderson",1,0,170,15,286,30,"T.1: Meadow - swales of silt/clay overlaying sandy sediment, Emergent - More Schoenoplectus acutus on edge of submergent, Trouble reaching bottom with rake in submergent pt 11, T.2: pt.2 - had some overhang from tamarack, pt.4 - woody veg is dying, pt.9",139,2702.818581,2506.171387,543.367981,12885.2998,2885.870117,675400.374,5079537.455,0,0.22,0,3
"629",628,1598,1,"7/13/2020","CMU",2020,8,"Excellent",124,"V","Pb/Cb/Bld",16,45,55,1,100,"percent_cover",0,0,0,55,0,0,0,55,"Point St. Ignace Wetland","Mackinac","A. Kneisel","O. Anderson",1,0,170,15,286,30,"T.1: Meadow - swales of silt/clay overlaying sandy sediment, Emergent - More Schoenoplectus acutus on edge of submergent, Trouble reaching bottom with rake in submergent pt 11, T.2: pt.2 - had some overhang from tamarack, pt.4 - woody veg is dying, pt.9",139,2737.004729,2752.251709,564.0339966,14057.40039,2899.040039,675408.9596,5079489.441,0,0.55,0,3
"630",629,1598,1,"7/13/2020","CMU",2020,9,"Confirmed",150,"V","Pb/Cb/Bld",1,60,40,30,50,"percent_cover",0,0,0,40,0,0,0,40,"Point St. Ignace Wetland","Mackinac","A. Kneisel","O. Anderson",1,0,170,15,286,30,"T.1: Meadow - swales of silt/clay overlaying sandy sediment, Emergent - More Schoenoplectus acutus on edge of submergent, Trouble reaching bottom with rake in submergent pt 11, T.2: pt.2 - had some overhang from tamarack, pt.4 - woody veg is dying, pt.9",139,2766.907742,2797.591309,569.3969727,14304,2963.340088,675423.4023,5079443.15,0,0.4,0,3
"631",630,1598,1,"7/13/2020","CMU",2020,10,"Confirmed",127,"V","Pb/Cb/Bld",3,45,55,7,15,"percent_cover",0,0,0,55,0,0,0,55,"Point St. Ignace Wetland","Mackinac","A. Kneisel","O. Anderson",1,0,170,15,286,30,"T.1: Meadow - swales of silt/clay overlaying sandy sediment, Emergent - More Schoenoplectus acutus on edge of submergent, Trouble reaching bottom with rake in submergent pt 11, T.2: pt.2 - had some overhang from tamarack, pt.4 - woody veg is dying, pt.9",139,2799.978619,2993.30957,585.3759766,15244.40039,2966.919922,675434.5316,5079395.875,0,0.55,0,3
"632",631,1598,1,"7/21/2011","OSU",2011,1,"Excellent",1,"V","Cly/Slt",0,0,27,6,100,"percent_cover",0,0,0,0,6,0,0,6,"Point St. Ignace Wetland","Mackinac","T. Lemein","C. Webster",1,0,167,138,152,78,"Zones and Quadrats were left marked with flagging tape for review except for submerged quadrats since there were no plants on which to flag., Transect 2: Start waypoint 898 marks beginning of transect. Large Typha sp. patch is not included as part of the",139,2671.559794,2394.095459,533.7459717,12271,2813.01001,675350.5904,5079613.434,0,0.06,0,3
"633",632,1598,1,"7/21/2011","OSU",2011,2,"Excellent",5,"V","Cly/Slt",0,0,23,5,100,"percent_cover",0,0,0,0,4,0,0,4,"Point St. Ignace Wetland","Mackinac","T. Lemein","C. Webster",1,0,167,138,152,78,"Zones and Quadrats were left marked with flagging tape for review except for submerged quadrats since there were no plants on which to flag., Transect 2: Start waypoint 898 marks beginning of transect. Large Typha sp. patch is not included as part of the",139,2684.308788,2392.646484,532.8439941,12259.90039,2812.080078,675360.9811,5079589.489,0,0.04,0,3
"634",633,1598,1,"7/21/2011","OSU",2011,3,"Excellent",1,"V","Cly/Slt",0,0,16,5,100,"percent_cover",0,0,0,3,0,0,0,3,"Point St. Ignace Wetland","Mackinac","T. Lemein","C. Webster",1,0,167,138,152,78,"Zones and Quadrats were left marked with flagging tape for review except for submerged quadrats since there were no plants on which to flag., Transect 2: Start waypoint 898 marks beginning of transect. Large Typha sp. patch is not included as part of the",139,2694.780251,2383.89624,546.9879761,12220.7998,2935.100098,675370.1717,5079569.512,0,0.03,0,3
"635",634,1598,1,"7/21/2011","OSU",2011,4,"Excellent",4,"V","Cly/Slt",0,1,50,7,90,"percent_cover",0,0,0,3,0,0,0,3,"Point St. Ignace Wetland","Mackinac","T. Lemein","C. Webster",1,0,167,138,152,78,"Zones and Quadrats were left marked with flagging tape for review except for submerged quadrats since there were no plants on which to flag., Transect 2: Start waypoint 898 marks beginning of transect. Large Typha sp. patch is not included as part of the",139,2704.875547,2490.253906,536.7440186,12791.40039,2837.040039,675380.9309,5079549.024,0,0.03,0,3
"636",635,1598,1,"7/21/2011","OSU",2011,5,"Excellent",2,"V","Cly/Slt",0,0,35.5,2,90,"percent_cover",0,0,0,1,0,0,0,1,"Point St. Ignace Wetland","Mackinac","T. Lemein","C. Webster",1,0,167,138,152,78,"Zones and Quadrats were left marked with flagging tape for review except for submerged quadrats since there were no plants on which to flag., Transect 2: Start waypoint 898 marks beginning of transect. Large Typha sp. patch is not included as part of the",139,2716.127515,2540.730225,556.0100098,12997.2002,2912.030029,675389.9012,5079528.597,0,0.01,0,3
"637",636,1598,1,"7/21/2011","OSU",2011,6,"Excellent",30,"V","Cly/Slt",0,0,13,6,100,"percent_cover",0,0,0,5,1,0,0,6,"Point St. Ignace Wetland","Mackinac","T. Lemein","C. Webster",1,0,167,138,152,78,"Zones and Quadrats were left marked with flagging tape for review except for submerged quadrats since there were no plants on which to flag., Transect 2: Start waypoint 898 marks beginning of transect. Large Typha sp. patch is not included as part of the",139,2754.379727,2886.125732,576.3270264,14721.2998,2966.320068,675412.8999,5079465.535,0,0.06,0,3
"638",637,1598,1,"7/21/2011","OSU",2011,7,"Excellent",27,"V","Cly/Slt",0,59,29,2,10,"percent_cover",0,0,0,1,0,0,0,1,"Point St. Ignace Wetland","Mackinac","T. Lemein","C. Webster",1,0,167,138,152,78,"Zones and Quadrats were left marked with flagging tape for review except for submerged quadrats since there were no plants on which to flag., Transect 2: Start waypoint 898 marks beginning of transect. Large Typha sp. patch is not included as part of the",139,2763.359234,2797.591309,569.3969727,14304,2963.340088,675421.7729,5079448.552,0,0.01,0,3
"639",638,1598,1,"7/21/2011","OSU",2011,8,"Excellent",29,"V","Cly/Slt",0,46,17,2,35,"percent_cover",0,0,0,10,0,0,0,10,"Point St. Ignace Wetland","Mackinac","T. Lemein","C. Webster",1,0,167,138,152,78,"Zones and Quadrats were left marked with flagging tape for review except for submerged quadrats since there were no plants on which to flag., Transect 2: Start waypoint 898 marks beginning of transect. Large Typha sp. patch is not included as part of the",139,2777.959661,2917.664063,569.8579712,14918.5,2922.139893,675430.6795,5079424.898,0,0.1,0,3
"640",639,1598,1,"7/7/2016","CMU",2016,6,"Excellent",48,"V","Cly/Slt",10,10,100,3,90,"percent_cover",0,0,0,40,0,0,0,40,"Point St. Ignace Wetland","Mackinac","W. vanWijnen","T. Grossmann",1,0,188,0,237,40,"T1: No Meadow., T2: Typha goes all the way to tree line, no meadow., T3: No meadow, trees at roadside, DAA EDITS: Points 1 and 2 of transect 1 should be wet meadow, making the zone about 100m wide, and reducing Emergent to about 140 m wide. For transect",139,2690.592256,2490.253906,536.7440186,12791.40039,2837.040039,675392.9565,5079557.926,0,0.4,0,3
"641",640,1598,1,"7/7/2016","CMU",2016,8,"Excellent",85,"V","Cly/Slt",41,35,68.5,3,90,"percent_cover",0,0,0,65,0,0,0,65,"Point St. Ignace Wetland","Mackinac","W. vanWijnen","T. Grossmann",1,0,188,0,237,40,"T1: No Meadow., T2: Typha goes all the way to tree line, no meadow., T3: No meadow, trees at roadside, DAA EDITS: Points 1 and 2 of transect 1 should be wet meadow, making the zone about 100m wide, and reducing Emergent to about 140 m wide. For transect",139,2755.536195,2886.125732,576.3270264,14721.2998,2966.320068,675410.4835,5079465.801,0,0.65,0,3
"642",641,1598,1,"7/7/2016","CMU",2016,9,"Excellent",85,"V","Cly/Slt",33,0,100,1,30,"percent_cover",0,0,0,40,0,0,0,40,"Point St. Ignace Wetland","Mackinac","W. vanWijnen","T. Grossmann",1,0,188,0,237,40,"T1: No Meadow., T2: Typha goes all the way to tree line, no meadow., T3: No meadow, trees at roadside, DAA EDITS: Points 1 and 2 of transect 1 should be wet meadow, making the zone about 100m wide, and reducing Emergent to about 140 m wide. For transect",139,2783.831998,2917.664063,569.8579712,14918.5,2922.139893,675424.5465,5079421.945,0,0.4,0,3
"643",642,1598,1,"8/12/2019","CMU",2019,4,"Confirmed",35,"V","Pb/Cb/Bld",25,25,75,52,20,"percent_cover",0,0,0,10,0,0,0,10,"Point St. Ignace Wetland","Mackinac","J. Dybiec","D. Mokris",1,0,162,18,381,30,"Transect 1: No pics for submergent The plant is Riccia fluitans, not Riccia sp. DAA 02-27-2020, Transect 2: No pics for submergent; detritus in submergent was all dead Potamogeton , Transect 3: No pic at point 1088; north of emergent zone was large stand",139,2651.977525,2394.095459,533.7459717,12271,2813.01001,675355.5151,5079634.366,0,0.1,0,3
"644",643,1598,1,"8/12/2019","CMU",2019,6,"Confirmed",99,"NV","Cly/Slt",14,33,65,12,40,"percent_cover",0,0,0,4,52,0,0,56,"Point St. Ignace Wetland","Mackinac","J. Dybiec","D. Mokris",1,0,162,18,381,30,"Transect 1: No pics for submergent The plant is Riccia fluitans, not Riccia sp. DAA 02-27-2020, Transect 2: No pics for submergent; detritus in submergent was all dead Potamogeton , Transect 3: No pic at point 1088; north of emergent zone was large stand",139,2698.316555,2392.646484,532.8439941,12259.90039,2812.080078,675364.9014,5079569.029,0,0.56,0,3
"645",644,1598,1,"8/12/2019","CMU",2019,7,"Confirmed",110,"NV","Cly/Slt",19,0,100,21,100,"percent_cover",0,0,0,23,0,0,0,23,"Point St. Ignace Wetland","Mackinac","J. Dybiec","D. Mokris",1,0,162,18,381,30,"Transect 1: No pics for submergent The plant is Riccia fluitans, not Riccia sp. DAA 02-27-2020, Transect 2: No pics for submergent; detritus in submergent was all dead Potamogeton , Transect 3: No pic at point 1088; north of emergent zone was large stand",139,2745.244566,2540.730225,556.0100098,12997.2002,2912.030029,675368.5685,5079508.09,0,0.23,0,3
"646",645,1598,1,"8/12/2019","CMU",2019,8,"Confirmed",110,"NV","Sand",0,0,100,0,10,"percent_cover",0,0,0,40,10,0,0,50,"Point St. Ignace Wetland","Mackinac","J. Dybiec","D. Mokris",1,0,162,18,381,30,"Transect 1: No pics for submergent The plant is Riccia fluitans, not Riccia sp. DAA 02-27-2020, Transect 2: No pics for submergent; detritus in submergent was all dead Potamogeton , Transect 3: No pic at point 1088; north of emergent zone was large stand",139,2800.298536,2683.801758,572.5859985,13643.40039,2968.679932,675363.2266,5079444.226,0,0.5,0,3
